"","year","song","artist","speechiness","energy","danceability","acousticness"
"1","2000","Smooth","Rob Thomas & Santana",0.06,0.964,0.647,0.00434
"2","2000","I Knew I Loved You","Savage Garden",0.0287,0.517,0.556,0.307
"3","2000","What A Girl Wants","Christina Aguilera",0.112,0.819,0.754,0.0684
"4","2000","Back At One","Brian McKnight",0.0307,0.357,0.649,0.542
"5","2000","Amazed","Lonestar",0.0319,0.553,0.557,0.247
"6","2000","Bye, Bye, Bye","N Sync",0.0479,0.926,0.61,0.031
"7","2000","Maria Maria","Santana & The Product G",0.0365,0.842,0.673,0.06
"8","2000","Show Me The Meaning Of Being Lonely","The Backstreet Boys",0.0252,0.625,0.63,0.231
"9","2000","Say My Name","Destiny's Child",0.102,0.678,0.713,0.273
"10","2000","Breathe","Faith Hill",0.163,0.741,0.642,0.187
"11","2000","He Wasn't Man Enough","Toni Braxton",0.0412,0.947,0.739,0.00947
"12","2000","Thong Song","Sisqo",0.0614,0.885,0.701,0.132
"13","2000","Oops!... I Did It Again","Britney Spears",0.0437,0.834,0.751,0.3
"14","2000","Be With You","Enrique Iglesias",0.0355,0.873,0.49,0.107
"15","2000","Try Again","Aaliyah",0.0371,0.352,0.435,0.814
"16","2000","The Real Slim Shady","Eminem",0.061,0.665,0.95,0.0339
"17","2000","Everything You Want","Vertical Horizon",0.0305,0.759,0.637,0.0504
"18","2000","It's Gonna Be Me","N Sync",0.071,0.873,0.636,0.0407
"19","2000","Jumpin' Jumpin'","Destiny's Child",0.0567,0.685,0.771,0.00543
"20","2000","Bent","Matchbox Twenty",0.0414,0.711,0.726,0.213
"21","2000","Incomplete","Sisqo",0.0759,0.446,0.75,0.282
"22","2000","Doesn't Really Matter","Janet Jackson",0.0825,0.8,0.773,0.0791
"23","2000","Music","Madonna",0.105,0.687,0.523,0.0215
"24","2000","Come On Over Baby (All I Want Is You)","Christina Aguilera",0.106,0.915,0.829,0.226
"25","2000","Give Me Just One Night","98 Degrees",0.0491,0.79,0.543,0.0513
"26","2000","Most Girls","Pink",0.0775,0.588,0.76,0.0485
"27","2000","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"28","2000","With Arms Wide Open","Creed",0.0302,0.539,0.41,0.00425
"29","2000","Case Of The Ex (Whatcha Gonna Do)","Mya",0.0445,0.69,0.78,0.0565
"30","2001","Independent Woman","Destiny's Child",0.944,0.704,0.571,0.914
"31","2001","It Wasn't Me","Shaggy & Ricardo 'RikRok' Ducent",0.0642,0.604,0.852,0.0503
"32","2001","He Loves U Not","Dream",0.269,0.489,0.76,0.274
"33","2001","Love Don't Cost A Thing","Jennifer Lopez",0.0707,0.842,0.786,0.00305
"34","2001","Ms Jackson","OutKast",0.269,0.805,0.843,0.142
"35","2001","Stutter","Joe Thomas & Mystikal",0.0361,0.848,0.606,0.214
"36","2001","Butterfly","Crazy Town",0.05,0.628,0.763,0.0531
"37","2001","Angel","Shaggy",0.511,0.374,0.712,0.795
"38","2001","All For You","Janet Jackson",0.0376,0.756,0.631,0.0399
"39","2001","Survivor","Destiny's Child",0.409,0.468,0.638,0.191
"40","2001","Ride Wit Me","Nelly & City Spud",0.0478,0.7,0.85,0.0616
"41","2001","Hanging By A Moment","Lifehouse",0.0352,0.855,0.531,0.000983
"42","2001","U Remind Me","Usher",0.0782,0.629,0.657,0.194
"43","2001","Bootylicious","Destiny's Child",0.284,0.833,0.835,0.00247
"44","2001","Let Me Blow Ya Mind","Eve & Gwen Stefani",0.116,0.539,0.909,0.243
"45","2001","All Or Nothing","O-Town",0.0311,0.693,0.663,0.0149
"46","2001","Hit 'em Up Style (Oops!)","Blu Cantrell",0.0466,0.774,0.7,0.2
"47","2001","I'm Real","Jennifer Lopez & Ja Rule",0.151,0.587,0.708,0.273
"48","2001","Fallin'","Alicia Keys",0.0252,0.449,0.63,0.219
"49","2001","Someone To Call My Lover","Janet Jackson",0.041,0.914,0.729,0.135
"50","2001","Family Affair","Mary J Blige",0.0436,0.56,0.925,0.138
"51","2001","Where The Party At","Jagged Edge & Nelly",0.226,0.661,0.596,0.31
"52","2001","Hero","Enrique Iglesias",0.0995,0.967,0.533,0.00791
"53","2001","U Got It Bad","Usher",0.03,0.5,0.816,0.0227
"54","2001","How You Remind Me","Nickelback",0.033,0.764,0.446,0.00135
"55","2002","How You Remind Me","Nickelback",0.033,0.764,0.446,0.00135
"56","2002","U Got It Bad","Usher",0.03,0.5,0.816,0.0227
"57","2002","Family Affair","Mary J Blige",0.0436,0.56,0.925,0.138
"58","2002","Get The Party Started","Pink",0.0475,0.902,0.806,0.00127
"59","2002","Hero","Enrique Iglesias",0.0995,0.967,0.533,0.00791
"60","2002","Always On Time","Ja Rule & Ashanti",0.278,0.714,0.607,0.205
"61","2002","Ain't It Funny","Jennifer Lopez & Ja Rule",0.17,0.746,0.781,0.364
"62","2002","In The End","Linkin Park",0.0498,0.853,0.542,0.0103
"63","2002","What About Us","Brandy",0.0507,0.588,0.489,0.0285
"64","2002","What's Luv?","Fat Joe & Ashanti",0.0598,0.707,0.835,0.0219
"65","2002","Foolish","Ashanti",0.0831,0.728,0.477,0.358
"66","2002","I Need A Girl","P Diddy, Usher & Loon",0.0578,0.785,0.602,0.245
"67","2002","Without Me","Eminem",0.0705,0.488,0.752,0.297
"68","2002","Hot In Herre","Nelly",0.144,0.736,0.965,0.218
"69","2002","Hero","Chad Kroeger & Josey Scott",0.0995,0.967,0.533,0.00791
"70","2002","Complicated","Avril Lavigne",0.0459,0.776,0.585,0.0572
"71","2002","Dilemma","Nelly & Kelly Rowland",0.167,0.534,0.725,0.211
"72","2002","Gangsta Lovin'","Eve & Alicia Keys",0.0604,0.826,0.728,0.0783
"73","2002","Cleanin' Out My Closet","Eminem",0.219,0.743,0.911,0.0835
"74","2002","A Moment Like This","Kelly Clarkson",0.0311,0.572,0.414,0.163
"75","2002","Lose Yourself","Eminem",0.266,0.732,0.698,0.00704
"76","2002","Work It","Missy 'Misdemeanor' Elliott",0.0802,0.722,0.85,0.255
"77","2002","Die Another Day","Madonna",0.0901,0.797,0.792,0.062
"78","2002","Jenny From The Block","Jennifer Lopez",0.207,0.754,0.844,0.00833
"79","2003","Lose Yourself","Eminem",0.266,0.732,0.698,0.00704
"80","2003","Jenny From The Block","Jennifer Lopez",0.207,0.754,0.844,0.00833
"81","2003","Work It","Missy 'Misdemeanor' Elliott",0.0802,0.722,0.85,0.255
"82","2003","'03 Bonnie & Clyde","Jay-Z & Beyonce",0.0764,0.599,0.854,0.17
"83","2003","All I Have","Jennifer Lopez & LL Cool J",0.0651,0.828,0.668,0.00482
"84","2003","Cry Me A River","Justin Timberlake",0.176,0.653,0.624,0.575
"85","2003","In Da Club","50 Cent",0.373,0.73,0.865,0.283
"86","2003","Beautiful","Christina Aguilera & Beverly McClellan",0.0262,0.402,0.552,0.676
"87","2003","Mesmerize","Ja Rule & Ashanti",0.209,0.641,0.762,0.0554
"88","2003","Ignition","R Kelly",0.0423,0.523,0.795,0.061
"89","2003","Get Busy","Sean Paul",0.036,0.824,0.735,0.615
"90","2003","I Know What You Want","Busta Rhymes & Mariah Carey",0.306,0.759,0.648,0.0142
"91","2003","21 Questions","50 Cent & Nate Dogg",0.36,0.807,0.547,0.388
"92","2003","Bring Me To Life","Evanescence & Paul McCoy",0.124,0.945,0.316,0.00895
"93","2003","Crazy In Love","Beyonce & Jay-Z",0.226,0.77,0.646,0.00249
"94","2003","Rock Wit U (Awww Baby)","Ashanti",0.0739,0.805,0.712,0.433
"95","2003","Magic Stick","Lil' Kim & 50 Cent",0.271,0.499,0.849,0.117
"96","2003","Right Thurr","Chingy",0.253,0.749,0.866,0.15
"97","2003","Shake Ya Tailfeather","Nelly, P Diddy & Murphy Lee",0.272,0.726,0.721,0.152
"98","2003","Where Is The Love?","The Black Eyed Peas",0.193,0.706,0.835,0.104
"99","2003","Baby Boy","Beyonce",0.076,0.485,0.334,0.666
"100","2003","Stand Up","Ludacris & Shaunna",0.349,0.84,0.75,0.369
"101","2003","Hey Ya!","OutKast",0.0665,0.974,0.728,0.103
"102","2004","Hey Ya!","OutKast",0.0665,0.974,0.728,0.103
"103","2004","Milkshake","Kelis",0.0439,0.77,0.891,0.00862
"104","2004","You Don't Know My Name","Alicia Keys",0.19,0.663,0.263,0.589
"105","2004","The Way You Move","OutKast",0.0464,0.597,0.871,0.126
"106","2004","Me, Myself & I","Beyonce",0.0955,0.672,0.757,0.0186
"107","2004","Yeah!","Usher, Lil' Jon & Ludacris",0.133,0.588,0.672,0.619
"108","2004","Toxic","Britney Spears",0.114,0.838,0.774,0.0249
"109","2004","Slow Jamz","Twista, Kanye West & Jamie Foxx",0.171,0.733,0.559,0.314
"110","2004","One Call Away","Chingy & J Weav",0.0344,0.613,0.667,0.403
"111","2004","I Don't Wanna Know","Mario Winans, Enya & P Diddy",0.0462,0.515,0.833,0.347
"112","2004","Naughty Girl","Beyonce",0.161,0.461,0.588,0.237
"113","2004","My Band","D12 & Eminem",0.0828,0.849,0.851,0.497
"114","2004","This Love","Maroon 5",0.237,0.861,0.738,0.32
"115","2004","Burn","Usher",0.168,0.66,0.454,0.0364
"116","2004","The Reason","Hoobastank",0.0299,0.235,0.331,0.918
"117","2004","Confessions Part II","Usher",0.138,0.467,0.845,0.0586
"118","2004","Slow Motion","Juvenile & Soulja Slim",0.0388,0.408,0.733,0.679
"119","2004","Lean Back","Terror Squad",0.517,0.922,0.698,0.129
"120","2004","Goodies","Ciara & Petey Pablo",0.161,0.511,0.944,0.042
"121","2004","She Will Be Loved","Maroon 5",0.0301,0.713,0.706,0.0596
"122","2004","My Place","Nelly & Jaheim",0.184,0.908,0.603,0.0144
"123","2004","My Boo","Usher & Alicia Keys",0.118,0.507,0.662,0.257
"124","2004","Lose My Breath","Destiny's Child",0.207,0.892,0.721,0.0351
"125","2004","Just Lose It","Eminem",0.0484,0.646,0.949,0.0705
"126","2004","Drop It Like It's Hot","Snoop Dogg & Pharrell Williams",0.215,0.622,0.881,0.187
"127","2005","Drop It Like It's Hot","Snoop Dogg & Pharrell Williams",0.215,0.622,0.881,0.187
"128","2005","Let Me Love You","Mario",0.0922,0.578,0.656,0.235
"129","2005","1-2 Step","Ciara & Missy 'Misdemeanor' Elliot",0.0414,0.896,0.805,0.0176
"130","2005","Lose My Breath","Destiny's Child",0.207,0.892,0.721,0.0351
"131","2005","Boulevard Of Broken Dreams","Green Day",0.0294,0.682,0.496,0.00552
"132","2005","Candy Shop","50 Cent & Olivia",0.466,0.574,0.614,0.0253
"133","2005","Get Right","Jennifer Lopez",0.238,0.743,0.95,0.0646
"134","2005","How We Do","The Game & 50 Cent",0.0748,0.63,0.799,0.0159
"135","2005","Rich Girl","Gwen Stefani & Eve",0.134,0.643,0.597,0.5
"136","2005","Hollaback Girl","Gwen Stefani",0.0954,0.918,0.918,0.344
"137","2005","Hate It Or Love It","The Game & 50 Cent",0.204,0.785,0.807,0.122
"138","2005","Lonely","Akon",0.305,0.61,0.48,0.0456
"139","2005","Don't Phunk With My Heart","The Black Eyed Peas",0.0645,0.929,0.691,0.00877
"140","2005","We Belong Together","Mariah Carey",0.0835,0.469,0.838,0.0358
"141","2005","Just A Lil Bit","50 Cent",0.41,0.692,0.489,0.0322
"142","2005","Lose Control","Missy 'Misdemeanor' Elliott",0.121,0.813,0.904,0.0311
"143","2005","Pon de replay","Rihanna",0.159,0.64,0.779,0.000155
"144","2005","Don't Cha","The Pussycat Dolls",0.0888,0.643,0.879,0.00603
"145","2005","Shake It Off","Mariah Carey",0.165,0.785,0.648,0.0561
"146","2005","Gold Digger","Kanye West & Jamie Foxx",0.384,0.699,0.638,0.0223
"147","2005","Photograph","Nickelback",0.0476,0.379,0.614,0.607
"148","2005","My Humps","The Black Eyed Peas",0.223,0.688,0.8,0.12
"149","2005","Run It","Chris Brown & Juelz Santana",0.129,0.482,0.846,0.0246
"150","2005","We Be Burnin'","Sean Paul",0.151,0.803,0.95,0.145
"151","2005","Hung Up","Madonna",0.0452,0.647,0.649,0.0039
"152","2005","Stickwitu","The Pussycat Dolls",0.052,0.551,0.652,0.289
"153","2006","Don't Forget About Us","Mariah Carey",0.0395,0.529,0.7,0.0422
"154","2006","Hung Up","Madonna",0.0452,0.647,0.649,0.0039
"155","2006","Stickwitu","The Pussycat Dolls",0.052,0.551,0.652,0.289
"156","2006","My Humps","The Black Eyed Peas",0.223,0.688,0.8,0.12
"157","2006","Run It","Chris Brown & Juelz Santana",0.129,0.482,0.846,0.0246
"158","2006","Grillz","Nelly & Paul Wall, Ali & Gipp",0.266,0.515,0.862,0.0406
"159","2006","Check On It","Beyonce & Slim Thug",0.369,0.884,0.519,0.00294
"160","2006","Temperature","Sean Paul",0.0685,0.6,0.951,0.106
"161","2006","You're Beautiful","James Blunt",0.0278,0.479,0.675,0.633
"162","2006","Be Without You","Mary J Blige",0.135,0.689,0.724,0.083
"163","2006","So Sick","Ne-Yo",0.262,0.592,0.699,0.273
"164","2006","Bad Day","Daniel Powter",0.0309,0.785,0.599,0.448
"165","2006","SOS","Rihanna",0.0715,0.645,0.802,0.272
"166","2006","Dani California","Red Hot Chili Peppers",0.0409,0.865,0.553,0.017
"167","2006","Hips Don't Lie","Shakira & Wyclef Jean",0.0712,0.824,0.778,0.284
"168","2006","Ridin'","Chamillionaire & Krayzie Bone",0.0448,0.817,0.547,0.0986
"169","2006","Crazy","Gnarls Barkley",0.0262,0.402,0.552,0.676
"170","2006","Promiscuous","Nelly Furtado & Timbaland",0.0476,0.977,0.813,0.05
"171","2006","Ain't No Other Man","Christina Aguilera",0.222,0.742,0.862,0.00376
"172","2006","Buttons","The Pussycat Dolls & Snoop Dogg",0.32,0.823,0.544,0.158
"173","2006","Me & U","Cassie",0.125,0.568,0.776,0.0204
"174","2006","Unfaithful","Rihanna",0.0334,0.391,0.588,0.839
"175","2006","SexyBack","Justin Timberlake",0.0789,0.583,0.967,0.0584
"176","2006","London Bridge","Fergie",0.381,0.63,0.748,0.214
"177","2006","Money Maker","Ludacris & Pharrell Williams",0.252,0.613,0.571,0.177
"178","2006","Call Me When You're Sober","Evanescence",0.0524,0.883,0.45,0.00193
"179","2006","Chasing Cars","Snow Patrol",0.0276,0.592,0.563,0.209
"180","2006","Smack That","Akon",0.0478,0.738,0.937,0.292
"181","2006","My Love","Justin Timberlake & T.I.",0.121,0.347,0.743,0.167
"182","2006","Irreplaceable","Beyonce",0.382,0.694,0.447,0.0293
"183","2006","I Wanna Love You","Akon & Snoop Dogg",0.0423,0.46,0.866,0.0442
"184","2007","Irreplaceable","Beyonce",0.382,0.694,0.447,0.0293
"185","2007","Smack That","Akon",0.0478,0.738,0.937,0.292
"186","2007","My Love","Justin Timberlake & T.I.",0.121,0.347,0.743,0.167
"187","2007","I Wanna Love You","Akon & Snoop Dogg",0.0423,0.46,0.866,0.0442
"188","2007","This Ain't A Scene, It's An Arms Race","Fall Out Boy",0.0396,0.888,0.601,0.000623
"189","2007","The Sweet Escape","Gwen Stefani & Akon",0.0356,0.765,0.755,0.218
"190","2007","What Goes Around Comes Around","Justin Timberlake",0.176,0.723,0.685,0.131
"191","2007","Say It Right","Nelly Furtado",0.13,0.873,0.871,0.0488
"192","2007","Girlfriend","Avril Lavigne",0.0917,0.554,0.726,0.0421
"193","2007","Glamorous","Fergie & Ludacris",0.211,0.748,0.81,0.32
"194","2007","Don't Matter","Akon",0.0414,0.457,0.79,0.24
"195","2007","Give It To Me","Timbaland & Nelly Furtado & Justin Timberlake",0.042,0.746,0.705,0.127
"196","2007","Beautiful Liar","Beyonce & Shakira",0.0703,0.751,0.764,0.00554
"197","2007","Umbrella","Rihanna & Jay-Z",0.134,0.829,0.583,0.00864
"198","2007","Makes Me Wonder","Maroon 5",0.0357,0.867,0.806,0.00546
"199","2007","Big Girls Don't Cry (Personal)","Fergie",0.0336,0.647,0.712,0.239
"200","2007","The Way I Are","Timbaland & Keri Hilson",0.106,0.808,0.734,0.189
"201","2007","Hey There Delilah","Plain White T's",0.0293,0.291,0.657,0.872
"202","2007","Stronger","Kanye West",0.153,0.717,0.617,0.00564
"203","2007","Beautiful Girls","Sean Kingston",0.0687,0.661,0.762,0.15
"204","2007","Ayo Technology","50 Cent & Justin Timberlake & Timbaland",0.198,0.774,0.442,0.0943
"205","2007","Crank That (Soulja Boy)","Soulja Boy",0.101,0.724,0.732,0.511
"206","2007","Apologize","Timbaland & OneRepublic",0.0368,0.718,0.591,0.348
"207","2007","No One","Alicia Keys",0.0286,0.548,0.644,0.0209
"208","2007","Kiss Kiss","Chris Brown & T-Pain",0.11,0.862,0.791,0.037
"209","2007","Gimme More","Britney Spears",0.0334,0.844,0.788,0.25
"210","2008","Apologize","Timbaland & OneRepublic",0.0368,0.718,0.591,0.348
"211","2008","No One","Alicia Keys",0.0286,0.548,0.644,0.0209
"212","2008","Don't Stop The Music","Rihanna",0.0643,0.669,0.835,0.0336
"213","2008","Low","Flo-Rida & T-Pain",0.166,0.569,0.584,0.0508
"214","2008","With You","Chris Brown",0.0447,0.835,0.51,0.00791
"215","2008","Bleeding Love","Leona Lewis",0.0357,0.656,0.638,0.188
"216","2008","Touch My Body","Mariah Carey",0.0539,0.666,0.716,0.129
"217","2008","Four Minutes","Madonna & Justin Timberlake",0.195,0.8,0.628,0.000944
"218","2008","Love In This Club","Usher & Young Jeezy",0.0732,0.712,0.573,0.0572
"219","2008","Take A Bow","Rihanna",0.0715,0.467,0.697,0.248
"220","2008","Mercy","Duffy",0.324,0.385,0.772,0.0309
"221","2008","Lollipop","Lil' Wayne",0.199,0.433,0.828,0.0656
"222","2008","I Kissed A Girl","Katy Perry",0.0677,0.76,0.699,0.00223
"223","2008","Viva la vida","Coldplay",0.0289,0.619,0.485,0.0941
"224","2008","All Summer Long","Kid Rock",0.0283,0.864,0.7,0.0212
"225","2008","Closer","Ne-Yo",0.0338,0.524,0.748,0.414
"226","2008","Forever","Chris Brown",0.277,0.92,0.544,0.244
"227","2008","Disturbia","Rihanna",0.0571,0.813,0.707,0.0863
"228","2008","So What","Pink",0.045,0.886,0.535,0.000304
"229","2008","Whatever You Like","T.I.",0.0709,0.687,0.68,0.0161
"230","2008","Live Your Life","T.I. & Rihanna",0.255,0.862,0.375,0.071
"231","2008","If I Were A Boy","Beyonce",0.0313,0.518,0.632,0.107
"232","2008","Hot 'n' cold","Katy Perry",0.0418,0.841,0.706,7.95e-05
"233","2008","Womanizer","Britney Spears",0.0622,0.695,0.724,0.073
"234","2009","Hot 'n' cold","Katy Perry",0.0418,0.841,0.706,7.95e-05
"235","2009","Just Dance","Lady GaGa & Colby O'Donis",0.0314,0.737,0.822,0.0261
"236","2009","If I Were A Boy","Beyonce",0.0313,0.518,0.632,0.107
"237","2009","Single Ladies (Put A Ring On It)","Beyonce",0.296,0.584,0.426,0.0383
"238","2009","Live Your Life","T.I. & Rihanna",0.255,0.862,0.375,0.071
"239","2009","Womanizer","Britney Spears",0.0622,0.695,0.724,0.073
"240","2009","So What","Pink",0.045,0.886,0.535,0.000304
"241","2009","Poker Face","Lady GaGa",0.0761,0.815,0.846,0.139
"242","2009","Right Round","Flo-Rida & Ke$ha",0.0551,0.672,0.72,0.009
"243","2009","My Life Would Suck Without You","Kelly Clarkson",0.0509,0.882,0.526,0.0014
"244","2009","Boom Boom Pow","The Black Eyed Peas",0.0827,0.851,0.869,0.15
"245","2009","Halo","Beyonce",0.0628,0.72,0.508,0.272
"246","2009","I Gotta Feeling","The Black Eyed Peas",0.0264,0.748,0.741,0.0823
"247","2009","I Know You Want Me (Calle Ocho)","Pitbull",0.145,0.733,0.817,0.0152
"248","2009","When Love Takes Over","David Guetta & Kelly Rowland",0.0253,0.862,0.674,0.0157
"249","2009","LoveGame","Lady GaGa",0.0652,0.649,0.892,0.00587
